,c1
0,whether audiences get behind lightning thief hard predict overall
1,whats really lacking lightning thief genuine sense wonr
2, say chris columbuss adaptation hes incapable stroying whatever magic wonr books kept kids coming back more
3,main  seems missing classically trained british actors
4,imperfect
5,a bit worse lifeless clueless
6,columbus aims no providing rambunctious romp nimbly avoids fate snared adaptations
7,the lightning thief electric
8,chris columbus crew literal approach spectacle nies magnificent use weirdness scale famed stopaction animator ray harryhausen brought mythinspired classics jason argonauts 
9,lightning thief crass ineptitu lost potential columbus infantilizing character pth use leftover harry potter special effects amuse smallest pantheon
10,problems screen adaptations young adult novelsthey spend time struggling explain world theyre creating forget parts story people want seethey figure people kids
11,sadly worthy dumping cinematic byard wintry midfebruary
12,scary younger fans popular book
13,sorry mr jackson
14, bright moments story centered around trio young actors simply operating skill level olr costars
15,while certainly terrible
16,unfortunately
17,lerman presence mouth full dialogue
18,a dull
19,director columbus quite gets comfortable juggling myriad characters
20,it bit hard see quite percy jackson lightening thiefs market lies adult juveniles
21,trite ludicrous threat harry potter franchise
22,while suspect really big clash titans spoiler
23,an awful lot acting talent goes waste 
24,greek gods outsized powers petty grievances geny migods different whole generation kids daddy issues
25,not perfect 
26,theres no resembling spark anywhere
27,brutally ht way people behave
28,funny heartbreaking
29,forget dread sex city holofceners wonrful new mammograms
30,the imperfect characters difficult world
31,recognizes unpleasant people need unpleasant long remembers uninteresting 
32,theres around right subject pertinent itll hit hard
33,there laughs moments pain many instances embarrassing and eply human behavior throughout
34,be get worse
35,starved whipsmart dialogue characters behave though theyve stepped cartoon holofceners latest guaranteed please give look
36,the main problem 
37,obvious entertaining portrayal midlife crisis g horribly awry
38, angry men gripping
39, angry men ranks tautest courtroom drama ever see
40,this tension comes personality conflict
41,strangely realistic thriller
42, angry men shrewd observations sell argumentation group behavior
43,lumet keeps tense
44,too  art arguing subject could certainly use
45, angry men puts full range human evil display posits
46,squid battle asi
47,tedious bore grubby people stand around muttering variety ly chosen accents
48, dull compendium recycled adventure epic cliches
49,while completely ridiculous
50,rather taking trouble imagine early civilization might like culture
51,almost worth sitting half revelatory moment forced ask yourself nearly entire cast sudnly attacked look like crackedout ostriches
52,worst
53,cheered villains building colossal civilization
54,too dumb seriously
55,this layed cries consiration worst cgi
56, cameo pauly shore encino man would liven bombastic bore
57,outrageous outlandish
