,c1
13,affiliated university pune approved aicte new delhi dte mumbai
15,holdplacement record
19,strong industryinstitute interaction
20,highly dedicated qualified faculty
22,qualified experienced dedicated teaching faculty retention ratio
25,effective use ict teaching learning process
26,student centric functioning mentoring counseling teachereffective academic monitoring
27,active nsunit
29,safeecured environment girltudents
35,arrange number fdpsttpnational level international level conferences
38,scope improvement digital literacy amongst women
39,needstrengthen industryinstitute interaction
41,encouragingtudentcompetitive examinationhighertudies
42,concentrate nerkingtrengthening relationshiptakeholders
44,girltudentsare variedocio economic background challenging
45,the objective im quality education computer engineering equip budding engineerright knowledge propel pathuccescountry abroad long term goal harnesskillfacultytudentcreate technicallyound learning environment beneficial industryociety field technical innovation alsoupporttudentorganizing technical events
46,dement equipped licenseapplicationpecificoftware like oracle 9i matalab 70 etc microsoft campulicensedeploy variety applicationdevelopmentoftware like visualtudioqlerver microsoft net etc leased line connectivity 4mbpbandwidth provide highpeed internet facility dedicated project lab finaltudentfinaltudentencouraged publish papertopiclatest technology referring ieee journal paperencouraged publish papertopic referred projects
47,the faculty formcoretrength expertise layingtrong foundation basicubjectlike database conceptdatatructurecomputer architecture  advanced arealike wirelescommunicationmartcard technologienerkecurity neural nerketc internet facility providedystemmatch pace fast growing information technologysector
48,strengths
51,infrastructure facility equipped laboratorieclassrooms
52,encouraging environmenttudenticipate technicalocial activities
53,effective academic monitoring leadimprovementtudent performance
54,cocurricular activitielike nsstudentassociation lead overall developmenttudents
56,room improvement aptitude communicationkilltudents
58,mouresearch projectindustry institute interaction need improved
59,promoting industrial trainingtaff
61,focuexploring higher internship opportunitiestudents
62,focuconduction value added technical certificationstudents
63,promoting interdisciplinary projects
64,focu quality publication peer reviewed journals
65,promoting consultancyponsored project mouindustry challenging
73,develop faculty website blogforum assignmentubmission assessment try hiring professional helpkilled employees
74,create domain expertise among faculty attracting consultancy
75,it try promoting yogatrengthening facultytudenthealth
77,bharati vidyapeethcollege engineering women puneeparateection gymkhana physical fitnesstudentnecessaryportequipmentprovidedtudentstudent year winnerfelicitated annualocial gatheringday fitindia celebration physicalkill test tudentannualportweekchescompetition pune city z intercollegiate basketball menwomen competition yogathe college university level college organizevarioueventwebinarsencouraged icipate
78,vision develop positive attitudetudentpositive actions
79,wetrive create leadermentortudentteach human valuehealthy minds
80,strive develop physical mental fitness
81,strivepread awarenessportpursuit healthy active lifestyle college beyond
82,wetrive develop leadershipkillhealthy competition trust responsibility group
83,try developelfesteemelfconfidence positiveportingexperiences
84,our college libraryufficient number reference booktextbooknational international journalsperiodicalsatisfy requirementaicteyllabuuniversity
