,c1
0,fantasy adventure fuses greek mythology contemporary american places values any around give couple years thrill visual spectacle
1,with topnotch cast dazzling special effects
2,list ingredients magic potion enjoy start finish
3,percy jackson 
4,fun
5,this actionpacked fantasy adventure
6,chris columbus returns comfort z mirthless
7,percy jackson harry potter 
8,admirably
9, familiar book rick riordans popular fantasy series enjoy chris columbus energetic adaptation
10,kids  enjoy adventures lightning thief screen
11,attempt steal harry potters thunr also stands largescale adventure works  entertain teens hoping strike
12,with effects and surprises fun
13,percy jackson olympians sounds like otis redding cover band
14, feels like cutrate potter knockoff dash ray harryhausen
15,lightning thief ia sequel seem like inviting proposition
16,gets many right goes astray kind wish tried place
17,the disappearance lightning simply interesting
18,uma thurman monstrates wear snakecovered head gracefully pierce brosnan trot around horses netherlands
19,greekgods premise lets rs indulge visually whizzy sequences keep rather lightweight action entertaining
20,enjoyable
21,action scale often start strong wind forgettable finales
22,the plot pretty blatant rehash typical comingofage hero tropes still
23,young viewers probably entertained likely realize could 
24,raises issues balls resolve placing context brains exploit
25,director chris columbus brought together morn mythical spheres sharp pacing nifty sense fun at dippier moments enjoyable effort since harry potter chamber secrets
26,columbus knows way around kind material special effects look like came ep discount
27,pleasant surprise ftly story translates myths classical idiom morn  losing classical flavor
28, fun whole family introduces young rears home books
29,harry potter meets clash titans … backdrop greek mythology enjoyable change pace medieval fantasy magic potter stories
30,while winning award longest title
31,built set pieces monstrate real affection greek myth iconography centered strong performance logan lerman a star making
32,awful particularly inspired some tells inspiring sequel anytime soon
33,kids parents either get sillysuspenseful spirit play rummikub iph
34,end enervating feeling ja vu
35,like stars
36,apparent potter last worthy successor
37,there lots cool surprises along way
38,columbus company crafted agreeable mythological jaunt whole family enjoy
39,moments inspired silliness save escapist adventure complete dullness
40,an agreeable fantasy adventure leave fans genre satisfied
41,it would easy slam review like big pretty toy commercials
42,thought mischievous witty amusing sort drawn it
43,the rousing blend special effects
44,percy jackson olympians dutifully kids fantasy columbus handles basic approach wield faithful vanilla harry potter adaptations
45,chris columbus safe choice behind lens
46,kids love
47,the t always certain
48,percy jackson manages greek mythology fun exciting sure appeal key mographic
49,not 
50,theres plenty larks fastmoving fantasy mythology seriously employs actors look like teenage rabbits headlights
51,it see greek mythology taking centre stage
52,if theyd played laughs might worked
53,its fantastic fun
54,remember time saw harry potter big screen like third time saw bigger effects greek mythology replacing occult
55,grand prize goes uma thurman snakehead medusa also pleasure see steve coogan hell
56,a safe
57,it looks like characters color percy jackson paired
58,its jolly fun
59,surprised affection action adventure way would days ray harryhausens 
60, sprightly harry potter cl eyecandycoated intro greek mythology
61,a family 
62,an enjoyable pgrated family adventure right
63,percy jackson olympians lightning thief proves satisfying beginning sure promising franchise
64,manages pay respects greek myths actually convey fun
65,kind builds lot 
66,provis adventure family audience
67,plot uses presence greek gods indistinct outline influence teenagers interested prestige glamor connection responsibility comes it
68,lightning thief admirable kids fantasy
69,like holofceners previous pictures
70,keener
71,holofcener always gives us chew originally meets eye writes female characters intelligence
72,the t lowkey funny yet
73,a witty observant comedy manners
74,solid ensemble work especially catherine keener
75,its tricky kind social satire
76,the fourth teaming gifted indie r holofcener talented actress keener timely
77,engagingly highstrung comedy lack empathy gnawing guilt attend it
78,holofceners humorous interest yupscale entitlement discontents mark scendant woody allen
79,please give specific middleclass
80,  ever guilt guardian ness sign yearning belong larger world
81,holofcener real sympathy characters might brittle
82,such finetuned observation requires ial interpreter keener always holofceners muse
83,listening banter please give feels like eavesdropping natural conversations
84,with romantic notion ceased haunting furniture
85,keener
86,people might find distasteful  guilty rich folks give permission splurge others rightly appreciate hty
87,holofceners liciously unrstated s miniaturists pleasure getting tails right
88,  year far insightful
89,few american rs create female characters realistically funny
90,hardly treasure
91, possible ways regarding please give shallow be eply shallow
92,if giving always relationship
