,c1,sentiment_neg,sentiment_pos,sentiment_neu,sentiment_compound,sentiment
0,various internet service provider 1) reliance: 4 mbps 2) bsnl: 12 mbps,0.0,0.0,1.0,0.0,neutral
1,wi-fi wireless access point,0.0,0.0,1.0,0.0,neutral
2,separate generator setup: 125 kva,0.0,0.0,1.0,0.0,neutral
3,ladies gymnasium,0.0,0.0,1.0,0.0,neutral
4,ladies hostel intake 200 nos,0.0,0.0,1.0,0.0,neutral
5,started p.g. course: intake=18 (vlsi & embedded sysytems),0.0,0.0,1.0,0.0,neutral
6,highly qualified faculty members,0.0,0.0,1.0,0.0,neutral
7,counseling carrier guidance programs,0.0,0.0,1.0,0.0,neutral
8,tcs accreditation,0.0,0.0,1.0,0.0,neutral
9,entrepreneurship development cell,0.0,0.0,1.0,0.0,neutral
10,"student staff chapters: iei, iete, iste, csi""",0.0,0.0,1.0,0.0,neutral
11,"industry-institute interaction: mou, industrial visit, expert lectures conductedforstudents""",0.0,0.0,1.0,0.0,neutral
12,engineering college exclusively women,0.0,0.0,1.0,0.0,neutral
13,"affiliated university pune, approved aicte, new delhi dte ,mumbai""",0.0,0.177,0.823,0.4215,positive
14,"general insurance policy, earn & learn scheme university pune""",0.0,0.0,1.0,0.0,neutral
15,holds placement record,0.0,0.492,0.508,0.4404,positive
16,interaction colleges various student chapters,0.0,0.0,1.0,0.0,neutral
17,entrepreneurship development program,0.0,0.0,1.0,0.0,neutral
18,well-equipped laboratories state art equipment licensed software,0.0,0.0,1.0,0.0,neutral
19,strong industry-institute interaction,0.0,0.623,0.377,0.5106,positive
20,highly dedicated qualified faculty,0.0,0.452,0.548,0.5095,positive
21,ample counseling carrier guidance programforstudents,0.0,0.0,1.0,0.0,neutral
22,"qualified, experienced dedicated teaching faculty retention ratio.""",0.0,0.349,0.651,0.7096,positive
23,laboratories state art equipment modern software tools.,0.0,0.0,1.0,0.0,neutral
24,faculty contributing design development implementation curriculum board studies affiliating university.,0.0,0.0,1.0,0.0,neutral
25,effective use ict teaching learning process.,0.0,0.307,0.693,0.4767,positive
26,"student centric functioning mentoring, counseling teachers effective academic monitoring.""",0.0,0.205,0.795,0.4767,positive
27,active nss unit.,0.0,0.574,0.426,0.4019,positive
28,professional society chapters every department.,0.0,0.0,1.0,0.0,neutral
29,safe secured environment girl students.,0.0,0.528,0.472,0.6808,positive
30,less industry institute interaction.,0.0,0.0,1.0,0.0,neutral
31,moderate placement ratio.,0.0,0.0,1.0,0.0,neutral
32,institute lacks revenue generation.,0.0,0.0,1.0,0.0,neutral
33,less student pursuing higher education.,0.0,0.0,1.0,0.0,neutral
34,involvement alumni institute level less.,0.0,0.0,1.0,0.0,neutral
35,arrange number fdps /sttps/ national level /international level conferences.,0.0,0.117,0.883,0.1513,positive
36,arrange specialized training programs faculty.,0.0,0.0,1.0,0.0,neutral
37,scope interdisciplinary sponsored projects.,0.0,0.0,1.0,0.0,neutral
38,scope improvement digital literacy amongst women.,0.0,0.25,0.75,0.4588,positive
39,needs strengthen industry-institute interaction.,0.0,0.315,0.685,0.3182,positive
40,aim placements core companies.,0.0,0.0,1.0,0.0,neutral
41,encouraging students competitive examinations higher studies.,0.0,0.389,0.611,0.6249,positive
42,concentrate networking strengthening relationship stakeholders.,0.0,0.242,0.758,0.4939,positive
43,focus industrial training faculty students.,0.0,0.0,1.0,0.0,neutral
44,girl studentsare varied socio- economic background challenging,0.0,0.151,0.849,0.1531,positive
45,"""the objective impart quality education computer engineering equip budding engineers right knowledge propel path success country abroad. long term goal harness skills faculty students create technically sound learning environment beneficial industry, society field technical innovation. also support students organizing technical events.""",0.0,0.154,0.846,0.9186,positive
46,"""department equipped licenses application specific software like oracle 9i, matalab 7.0 etc., microsoft campus licenses deploy variety application/development software like visual studio, sql server microsoft .net etc. leased line connectivity 4mbps bandwidth provide high speed internet facility, dedicated project lab final students. final students encouraged publish papers topics latest technology referring ieee journal papers encouraged publish papers topic referred projects.""",0.0,0.143,0.857,0.9001,positive
47,"""the faculty forms core strength expertise laying strong foundation basic subjects like database concepts, data structures, computer architecture well advanced areas like wireless communication, smartcard technologies, network security, neural networks etc. internet facility provided systems match pace fast growing information technologysector.""",0.0,0.279,0.721,0.9493,positive
48,strengths:,0.0,1.0,0.0,0.4019,positive
49,"""it follow student centric process (guardian faculty member, mentor).""",0.0,0.0,1.0,0.0,neutral
50,conducive working learning leading faculty staff retention,0.0,0.0,1.0,0.0,neutral
51,infrastructure facility well-equipped laboratories classrooms.,0.0,0.293,0.707,0.4404,positive
52,encouraging environment students participate technical social activities.,0.0,0.254,0.746,0.5267,positive
53,effective academic monitoring leads improvement student performance.,0.0,0.504,0.496,0.7269,positive
54,"co-curricular activities like nss, students association lead overall development students.""",0.0,0.172,0.828,0.3612,positive
55,lack consultancy project.,0.434,0.0,0.566,-0.3182,negative
56,room improvement aptitude communication skill students.,0.0,0.214,0.786,0.4588,positive
57,less research publication scopus web science citation.,0.0,0.0,1.0,0.0,neutral
58,mous research projects industry institute interaction need improved.,0.0,0.237,0.763,0.4767,positive
59,promoting industrial training staff.,0.0,0.294,0.706,0.3612,positive
60,"contribution conducting faculty development programme. short term training programme, conference""",0.0,0.0,1.0,0.0,neutral
61,focus exploring higher internship opportunities students.,0.0,0.224,0.776,0.3818,positive
62,focus conduction value added technical certifications students.,0.0,0.167,0.833,0.34,positive
63,promoting interdisciplinary projects.,0.0,0.385,0.615,0.3612,positive
64,focus better quality publication peer reviewed journals,0.0,0.225,0.775,0.4404,positive
65,"promoting consultancy, sponsored project mous industry challenging""",0.0,0.313,0.687,0.4767,positive
66,weak alumni interaction.,0.592,0.0,0.408,-0.4404,negative
67,training major hub students coming rural background difficult challenging,0.155,0.099,0.745,-0.2263,negative
68,focus implementation enterprise resource planning.,0.0,0.0,1.0,0.0,neutral
69,focus receive funding various funding agencies.,0.0,0.0,1.0,0.0,neutral
70,introduce pg course department.,0.0,0.0,1.0,0.0,neutral
71,organizing fdp/sttp faculty development.,0.0,0.0,1.0,0.0,neutral
72,focus establishing linkage developing virtual lab.,0.0,0.0,1.0,0.0,neutral
73,"develop faculty website, blogs, forum assignment submission assessment, try hiring professional help skilled employees""",0.0,0.119,0.881,0.4019,positive
74,create domain expertise among faculty attracting consultancy.,0.0,0.394,0.606,0.6369,positive
75,"""it try promoting yoga strengthening faculty, students health.""",0.0,0.416,0.584,0.6908,positive
76,gymkhana: -,0.0,0.0,1.0,0.0,neutral
77,"""bharati vidyapeeths college engineering women, pune separate section gymkhana physical fitness students. necessary sports equipments provided students. students every year. winners felicitated annual social gathering.day, fit-india celebration, physical skill test first students annual sports weekchess competition, pune city zone intercollegiate basketball men/women competition, yogathe college university level. college organizes various events webinars,encouraged participate",0.0,0.062,0.938,0.6369,positive
78,vision develop positive attitude students positive actions,0.0,0.505,0.495,0.8481,positive
79,"""we strive create leaders, mentor students teach human values, healthy minds""",0.0,0.405,0.595,0.7579,positive
80,strive develop physical mental fitness,0.0,0.231,0.769,0.2732,positive
81,strive spread awareness sports pursuit healthy active lifestyle college beyond,0.0,0.221,0.779,0.6597,positive
82,"""we strive develop leadership skills, healthy competition, trust responsibility group""",0.0,0.316,0.684,0.7184,positive
