,c1,sentiment_neg,sentiment_pos,sentiment_neu,sentiment_compound,sentiment
0,fantasy adventure fuses greek mythology contemporary american places values. anyone around 15 (give take couple years) thrill visual spectacle,0.0,0.319,0.681,0.7579,positive
1,"""uma thurman medusa",0.0,0.0,1.0,0.0,neutral
2,"""with top-notch cast dazzling special effects",0.0,0.351,0.649,0.4019,positive
3,"""whether audiences get behind lightning thief hard predict. overall",0.407,0.0,0.593,-0.5859,negative
4,"""what's really lacking lightning thief genuine sense wonder",0.344,0.0,0.656,-0.5667,negative
5,list ingredients movie-magic potion enjoy start finish.,0.0,0.348,0.652,0.4939,positive
6,harry potter knockoffs come transparent slapdash wannabe-franchise jumpstarter directed chris columbus.,0.0,0.0,1.0,0.0,neutral
7,"""percy jackson great movie",0.0,0.577,0.423,0.6249,positive
8,"""fun",0.0,1.0,0.0,0.5106,positive
9,"""crammed dragons",0.0,0.0,1.0,0.0,neutral
10,"""this action-packed fantasy adventure",0.0,0.434,0.566,0.3182,positive
11,"""for intended",0.0,0.0,1.0,0.0,neutral
12,"""chris columbus returns comfort zone mirthless",0.0,0.333,0.667,0.3612,positive
13,best thing say chris columbus's adaptation he's incapable destroying whatever magic wonder books kept kids coming back more.,0.244,0.165,0.591,-0.25,negative
14,cast simply generic. none young thespians stick out.,0.0,0.0,1.0,0.0,neutral
15,"""percy jackson may """"harry potter good",0.0,0.367,0.633,0.4404,positive
16,"""[p]erfectly inoffensive",0.0,0.0,1.0,0.0,neutral
17,"""admirably",0.0,1.0,0.0,0.5423,positive
18,main thing movie seems missing classically trained british actors.,0.216,0.0,0.784,-0.296,negative
19,"""when movie slows catch breath",0.0,0.0,1.0,0.0,neutral
20,"""imperfect",1.0,0.0,0.0,-0.3182,negative
21,"""although standard allegorical bases mythical-quest movies dutifully covered",0.0,0.0,1.0,0.0,neutral
22,"""a little bit worse lifeless; clueless",0.571,0.0,0.429,-0.651,negative
23,even familiar first book rick riordan's popular fantasy series enjoy chris columbus' energetic adaptation.,0.0,0.447,0.553,0.836,positive
24,"""this generic filmmaking banal",0.0,0.0,1.0,0.0,neutral
25,"""kids may well enjoy adventures lightning thief screen",0.225,0.51,0.265,0.5106,positive
26,attempt steal harry potter's thunder also stands well-made large-scale adventure works well enough entertain teens hoping strike.,0.187,0.377,0.437,0.5859,positive
27,"""with great effects (and surprises) fun",0.0,0.756,0.244,0.8519,positive
28,columbus directs usual frying pan head. music forever swelling majestically. characters always opening wide eyes mouths gaze wonder.,0.0,0.0,1.0,0.0,neutral
29,"""while might rival later",0.0,0.0,1.0,0.0,neutral
30,"""percy jackson & olympians sounds like otis redding cover band.",0.0,0.217,0.783,0.3612,positive
31,movie feels like cut-rate potter knockoff dash ray harryhausen.,0.0,0.238,0.762,0.3612,positive
32,"""in columbus' hands",0.0,0.0,1.0,0.0,neutral
33,lightning thief makes idea sequel seem like inviting proposition.,0.239,0.338,0.423,0.1027,positive
34,"""columbus aims nothing providing rambunctious romp. nimbly avoids fate snared film adaptations",0.134,0.0,0.866,-0.1779,negative
35,gets many things right goes astray kind wish tried first place,0.0,0.404,0.596,0.7269,positive
36,"""the lightning thief electric",0.531,0.0,0.469,-0.5267,negative
37,"""chris columbus crew take literal approach spectacle denies magnificent use weirdness scale famed stop-action animator ray harryhausen brought myth-inspired classics """"jason argonauts"""" (1963)...""",0.164,0.136,0.699,0.0516,negative
38,"""even computer-generated fireballs",0.0,0.0,1.0,0.0,neutral
39,"""the disappearance lightning simply interesting",0.0,0.403,0.597,0.4019,positive
40,uma thurman demonstrates wear snake-covered head gracefully pierce brosnan trot around horse's netherlands.,0.0,0.221,0.779,0.5267,positive
41,greek-gods premise lets filmmakers indulge visually whizzy sequences keep rather lightweight action movie entertaining.,0.0,0.182,0.818,0.4404,positive
42,"""of players",0.0,0.0,1.0,0.0,neutral
43,"""enjoyable",0.0,1.0,0.0,0.4404,positive
44,"""action movies scale often start strong wind forgettable finales",0.0,0.292,0.708,0.5106,positive
45,lightning thief crass ineptitude lost potential. columbus' infantilizing character depth use leftover harry potter special effects amuse smallest pantheon.,0.218,0.207,0.575,-0.0772,negative
