,0
college,51
faculty,17
experience,16
teaching,14
time,12
i,11
vidyapeeth,11
bharati,11
engineering,11
university,10
work,10
help,9
pune,9
life,9
research,9
place,8
professional,8
helped,8
knowledge,8
learning,8
equipped,7
education,7
environment,7
like,7
development,7
the,7
library,7
new,7
women,6
field,6
develop,6
also,6
effective,6
journey,6
institute,6
working,5
improvement,5
learned,5
bvp,5
it,5
proud,5
technical,5
promoting,5
along,5
excellent,5
course,5
academic,5
ayurveda,5
infrastructure,5
overall,4
encourage,4
aptitude,4
architecture,4
dement,4
etc,4
cultural,4
teacher,4
dr,4
try,4
quality,4
helpful,4
pcp,4
law,4
encouraging,4
atmosphere,4
understanding,4
institution,4
qualified,4
level,4
memory,4
committee,4
future,4
career,4
given,4
beautiful,4
dedicated,3
design,3
vision,3
provide,3
gratitude,3
monitoring,3
facility,3
represent,3
lab,3
interaction,3
bvdu,3
takentudentindulging,3
technology,3
owe,3
ragging,3
would,3
meet,3
imed,3
bvducoa,3
clg,3
me,3
national,3
heart,3
abetting,3
expertise,3
highly,3
timepent,3
process,3
dept,3
action,3
create,3
innovation,3
crucial,3
bvimr,3
3,3
understand,3
we,3
5,3
practical,3
promote,3
knowledgeable,3
fair,3
grateful,3
being,3
building,3
important,3
activities,3
whole,3
growth,3
competition,3
rasashastra,3
international,3
truly,3
extracurricular,3
fest,3
number,3
far,2
water,2
bhaishajyakalpana,2
responsibility,2
ayurvedic,2
group,2
developed,2
pharmacology,2
our,2
interesting,2
clean,2
think,2
passion,2
professor,2
continuously,2
mind,2
evaluate,2
decisionmaking,2
people,2
approach,2
view,2
talk,2
mission,2
fine,2
festival,2
completed,2
medicine,2
ensure,2
educational,2
conducive,2
addition,2
programs,2
alumni,2
classroom,2
met,2
campuenvironment,2
memorable,2
bv,2
achieve,2
entire,2
encouraged,2
nursing,2
culture,2
difficult,2
curricular,2
amazing,2
gave,2
enjoyed,2
deeper,2
core,2
maam,2
aspect,2
all,2
du,2
opportunity,2
on,2
join,2
industry,2
graduation,2
today,2
especially,2
conducted,2
alwaysupported,2
wonderful,2
joined,2
person,2
individual,2
polished,2
yearlife,2
different,2
world,2
md,2
within,2
four,2
mindset,2
team,2
neutral,2
hospital,2
d,2
home,2
know,2
cooperative,2
accepted,2
opinion,2
them,2
unlearn,2
associated,2
friendly,2
hourincreased,2
huge,2
clinical,2
no,2
platform,2
postgraduation,2
campualwayholdpecial,2
beyond,2
brilliant,2
global,2
bvdumc,2
provided,2
mater,2
alma,2
my,2
enriching,2
into,2
art,2
guidance,2
going,2
endorse,2
inspiring,2
warmest,2
mindcanopy,2
trust,2
family,2
ratio,2
goal,2
industryinstitute,2
icipate,2
want,2
publish,2
experienced,2
retention,2
year,2
use,2
project,2
value,2
internet,2
ict,2
centric,2
z,2
found,2
amongst,2
optometry,2
performance,2
internship,2
active,2
nsunit,2
higher,2
microsoft,2
cocurricular,2
digital,2
need,2
lead,2
physical,2
nlc,2
positive,2
communicationkilltudents,2
background,2
human,2
qualifiedtaff,2
hall,2
challenging,2
pharmacy,2
poona,2
blessed,2
here,2
cure,2
healthy,2
projects,2
wetrive,2
im,2
foundation,2
competentespecially,1
rooted,1
eventintegral,1
mix,1
moderncience,1
professionalgivedeeper,1
traitable,1
history,1
constant,1
involvement,1
activity,1
happenisolation,1
touretched,1
co,1
alwayencouraging,1
understandense,1
memorielifearchitecture,1
comfort,1
facultiehelped,1
hadchool,1
binocular,1
issue,1
using,1
herbplantcure,1
necessary,1
niceee,1
facultieimmense,1
interpret,1
planning,1
architecturepace,1
illnessecombination,1
living,1
meaning,1
canceride,1
spaceask,1
funandwiched,1
purpose,1
learningcollaboration,1
nowhere,1
coordination,1
individualtudent,1
lot,1
past,1
dream,1
constructionervice5,1
recommend,1
pharma,1
lifetime,1
excellence,1
driving,1
inhouse,1
industryleading,1
enthusiasm,1
iming,1
bvdumcp,1
teacherwhole,1
collegecountry,1
fortunately,1
yearjoined,1
facultytudentadministration,1
harmony,1
medical,1
unit,1
efficiently,1
prestigioupharmacy,1
challengemustay,1
covid,1
second,1
everevolving,1
calling,1
learnharpenkills,1
energy,1
campufull,1
yearworking,1
yearbharati,1
architectureteppingt,1
thoughtfully,1
universitywabig,1
crafteduretudent,1
ready,1
bharat,1
challenges,1
studying,1
uway,1
20,1
leader,1
through,1
interested,1
industryciencetudent,1
prepared,1
pcpian,1
kind,1
realized,1
growthtate,1
facilitiepromotion,1
oriented,1
personal,1
newkillstudentaround,1
live,1
box,1
boundaries,1
alwaywelcomed,1
dance,1
friendlifetime,1
memorie,1
last,1
cherished,1
gratefulardair,1
giving,1
interdementaleminargettingelected,1
iicpc,1
conference,1
belgaum,1
achievementalso,1
environmenti,1
performing,1
memberhelpcreate,1
alwaytreasured,1
learningtudentfreely,1
those,1
productive,1
yearyearlife,1
had,1
tonmemoriecherish,1
creative,1
changed,1
proudtudentangli,1
campus,1
collegeessionfaculty,1
doubt,1
hardworking,1
curing,1
collegetaff,1
favourite,1
ardairheetal,1
yearexperience,1
interning,1
newmba,1
journeypecial,1
mei,1
luxury,1
happy,1
initiativetakentill,1
running,1
opportunitiegrow,1
mediaociety,1
flash,1
bplan,1
named,1
avsar,1
presidenttudent,1
council,1
memoriegiven,1
alwaytriedupporttudentwork,1
welfare,1
friendattended,1
membersi,1
conferencecourse,1
implant,1
memberstaff,1
exploring,1
creativeide,1
bharti,1
happen,1
gratified,1
needswhich,1
reasonreminisce,1
daybvcoa,1
fondnesconsider,1
impactful,1
friends,1
kindness,1
mentormet,1
closest,1
elaboration,1
friendback,1
neeta,1
then,1
explanation,1
likemall,1
familypent,1
togetherwe,1
fabulousupport,1
engage,1
integral,1
holistic,1
developmentelf,1
disease,1
age,1
providecollaborative,1
encouragepush,1
finished,1
deemed,1
towardsupportingtudentacademic,1
tripstate,1
confidence,1
tripouth,1
enjoyable,1
bvcoa,1
eminent,1
punecould,1
instituteet,1
fantastic,1
punethe,1
providestudentopportunitie,1
5year,1
variouworkshopexhibitionstudy,1
eventlike,1
professorexpertrespective,1
nasa,1
assoctudentarchitecture,1
exposure,1
architecturehapetudentdesigner,1
robust,1
collegeproviding,1
artallied,1
fieldbharati,1
providestudentcomprehensive,1
facultyupporttaff,1
knowledgetudents,1
fieldprovide,1
lesfamily,1
enabling,1
uembrace,1
pgtudy,1
effortinculcate,1
valuework,1
ethicdiscipline,1
orientation,1
huddle,1
uspacioudesigneduit,1
postgraduate,1
teacherhelpful,1
activitiespecificectionviz,1
control,1
ayurvedaamhitatudy,1
instrumentanalysiphysicochemical,1
parameterraw,1
herbprocessed,1
dementubject,1
could,1
fortune,1
formulation,1
laboratorieformulation,1
processing,1
ample,1
provision,1
raw,1
materialseparateection,1
incineration,1
metalmetalloidprovided,1
techniqueengaging,1
put,1
teacherrasashastra,1
powerpoint,1
fulamhitaiddhant,1
teacherdement,1
rsbk,1
placepost,1
bhaishajya,1
humble,1
kalpana,1
vigyana,1
instrumentinfrastructure,1
uacademic,1
yearcomprise,1
ultramodern,1
facilitiepreparation,1
yet,1
trainamhitaiddhant,1
lucky,1
holdunique,1
position,1
institutedue,1
training,1
output,1
teachingpossible,1
consider,1
now,1
consistent,1
effortfaculty,1
giveimmense,1
pleasure,1
thoughtprovoking,1
presentationhelpful,1
teachersupport,1
2016,1
currently,1
bring,1
associate,1
dy,1
universitychool,1
dont,1
possible,1
environmenttudententirecenario,1
pleasant,1
convey,1
equipment,1
wordsense,1
towardrsbkv,1
wantay,1
depth,1
fulfilling,1
wadynamic,1
teacherit,1
pleased,1
intriguing,1
you,1
teacherinculcating,1
towardayurveda,1
modern,1
motivated,1
studentconstantly,1
collaboratively,1
upbringingyoungtudentfield,1
kriyaharirupportive,1
tool,1
helpfultaff,1
enthusiastic,1
topicsimpler,1
ful,1
phd,1
bhu,1
completing,1
yearlearning,1
nowadayworking,1
assistant,1
applied,1
principleayurvedtudentindeed,1
ayush,1
medicalciencelucknow,1
uttar,1
pradeshhall,1
basic,1
alwayindebted,1
passionate,1
teacherplaying,1
rolehaping,1
understoodubject,1
basiclassical,1
contemporary,1
parameterdue,1
versed,1
member,1
learningrsbk,1
rsbkv,1
rate,1
facilitiealwayavailable,1
variouinstrumentmuseum,1
bvdtumc,1
14,1
privilege,1
yearcareer,1
regardingubject,1
discipline,1
dedication,1
continuoueffortupgrade,1
materialmaintainingtudent,1
useful,1
enthusiastictafftudentreceive,1
alwayforefront,1
applauded,1
teachinghowstudent,1
distinction,1
holderbiochemistry,1
1st,1
mbbexamsanother,1
feather,1
captate,1
artbiochemistryection,1
central,1
dementincere,1
forteaching,1
laboratory,1
discussion,1
facultytudentlearn,1
biochemistry,1
leadershipkills,1
methodlike,1
communication,1
honor,1
yebharatiy,1
campustate,1
preparing,1
expert,1
teachingtaff,1
ubelievepecial,1
nonteachingtaff,1
behavedtudentstrict,1
kicked,1
rules,1
healthcare,1
alwayunique,1
dingle,1
afinaltudent,1
plethora,1
experiencecollege,1
electronicmotivating,1
bachelormasterph,1
large,1
professionaluccesfacultiededicated,1
helping,1
uinnovate,1
workolutionsocietieclubform,1
key,1
developmenttudenthelped,1
enhance,1
explore,1
newer,1
five,1
pg,1
assistantplay,1
role,1
molding,1
and,1
fulltime,1
crude,1
dissection,1
bamgraduate,1
yearmd,1
ayurved,1
turning,1
point,1
exposed,1
faculties,1
valuelike,1
openmindednesadaptability,1
adhering,1
principleayurved,1
teach,1
facilitieimportant,1
embedded,1
uhelped,1
resourceelectronic,1
find,1
myselfincere,1
fivetarteachingtaff,1
when,1
gadgil,1
vd,1
horizonbasicciencemeet,1
more,1
technological,1
advancements,1
fortunate,1
gain,1
nontraditional,1
lcdwebource,1
aidlike,1
usemodern,1
pharmaceuticalong,1
difficulty,1
dent,1
helpfulandtheyareaccessibleinthedementandalwaysreadytosolvestu,1
three,1
waywonderful,1
4,1
yearbelieve,1
whatever,1
achieved,1
majorly,1
teacherstudent,1
falloutknowledge,1
gained,1
disciplined,1
facultiethedement,1
recognition,1
wele,1
pawar,1
affiliated,1
interpersonalkill,1
insighthappinesalwayproud,1
educating,1
available,1
withholdingwithdrawingcholarship,1
fellowship,1
benefits,1
debarred,1
representing,1
regional,1
tournament,1
youth,1
rs25000,1
bringocial,1
transformation,1
dynamic,1
believe,1
helpdeveloping,1
marathi,1
nation,1
womentepped,1
womenubstance,1
proved,1
potential,1
again,1
vidyapeethtarted,1
vdyapeethcollege,1
2000,1
indeed,1
excelled,1
boundarieestablish,1
pier,1
womenupremacy,1
languageeresourceetc,1
newpaperenglish,1
patents,1
strive,1
physicalkill,1
test,1
tudentannualportweekchescompetition,1
city,1
intercollegiate,1
basketball,1
menwomen,1
yogathe,1
organizevarioueventwebinarsencouraged,1
attitudetudentpositive,1
actions,1
leadermentortudentteach,1
valuehealthy,1
minds,1
mental,1
literaturebiographiedaily,1
fitness,1
strivepread,1
awarenessportpursuit,1
lifestyle,1
leadershipkillhealthy,1
developelfesteemelfconfidence,1
positiveportingexperiences,1
libraryufficient,1
reference,1
booktextbooknational,1
journalsperiodicalsatisfy,1
requirementaicteyllabuuniversity,1
reading,1
interesttudentconcerned,1
empowergirltudentpursue,1
realize,1
ambitionirrespective,1
dedicatedtaff,1
clearly,1
defined,1
articulated,1
goals,1
addvalue,1
instituteociety,1
equal,1
access,1
recognize,1
addreschallengedueocioeconomic,1
diversity,1
experiencepromote,1
er,1
appreciation,1
adaptive,1
geographicalcale,1
procesusing,1
continuouevaluation,1
amongtudents,1
ability,1
developkill,1
conduction,1
organization,1
nationalinternational,1
conferencevalue,1
icipation,1
communicationkillstudenttasking,1
creating,1
awarenesemployment,1
opportunitiee,1
communicate,1
establish,1
improveystempolicies,1
collaboration,1
support,1
responsible,1
accountable,1
activitielevelinstitution,1
continuallyeek,1
earn,1
publictrust,1
actionwords,1
programservicemeet,1
identified,1
needs,1
improve,1
programservicesystempolicies,1
utilizehared,1
treat,1
dignity,1
feelingselfworth,1
courtesy,1
treatment,1
recognizeupport,1
employeetudent,1
contributions,1
continuouimprovement,1
creativity,1
risktaking,1
utilizeystempromotetudent,1
employeeuccess,1
implementation,1
interdemental,1
celebration,1
fitindia,1
gatheringday,1
9i,1
engineerright,1
propel,1
pathuccescountry,1
abroad,1
long,1
term,1
harnesskillfacultytudentcreate,1
technicallyound,1
beneficial,1
industryociety,1
alsoupporttudentorganizing,1
events,1
licenseapplicationpecificoftware,1
oracle,1
matalab,1
journal,1
70,1
campulicensedeploy,1
variety,1
applicationdevelopmentoftware,1
visualtudioqlerver,1
net,1
leased,1
line,1
connectivity,1
4mbpbandwidth,1
highpeed,1
finaltudentfinaltudentencouraged,1
papertopiclatest,1
referring,1
budding,1
equip,1
computer,1
objective,1
approved,1
aicte,1
delhi,1
dte,1
mumbai,1
holdplacement,1
record,1
strong,1
student,1
functioning,1
mentoring,1
counseling,1
teachereffective,1
safeecured,1
girltudents,1
arrange,1
fdpsttpnational,1
conferences,1
scope,1
literacy,1
needstrengthen,1
encouragingtudentcompetitive,1
examinationhighertudies,1
concentrate,1
nerkingtrengthening,1
relationshiptakeholders,1
girltudentsare,1
variedocio,1
economic,1
ieee,1
paperencouraged,1
annualocial,1
assignmentubmission,1
opportunitiestudents,1
focuconduction,1
added,1
certificationstudents,1
interdisciplinary,1
focu,1
publication,1
peer,1
reviewed,1
journals,1
consultancyponsored,1
mouindustry,1
website,1
blogforum,1
assessment,1
papertopic,1
hiring,1
helpkilled,1
employees,1
domain,1
among,1
attracting,1
consultancy,1
yogatrengthening,1
facultytudenthealth,1
vidyapeethcollege,1
puneeparateection,1
gymkhana,1
fitnesstudentnecessaryportequipmentprovidedtudentstudent,1
winnerfelicitated,1
focuexploring,1
trainingtaff,1
industrial,1
improved,1
referred,1
formcoretrength,1
layingtrong,1
basicubjectlike,1
database,1
conceptdatatructurecomputer,1
advanced,1
arealike,1
wirelescommunicationmartcard,1
technologienerkecurity,1
neural,1
nerketc,1
providedystemmatch,1
pace,1
fast,1
growing,1
information,1
technologysector,1
strengths,1
laboratorieclassrooms,1
environmenttudenticipate,1
technicalocial,1
leadimprovementtudent,1
activitielike,1
nsstudentassociation,1
developmenttudents,1
room,1
mouresearch,1
projectindustry,1
tc,1
instead,1
alwaynew,1
upskill,1
challengeencouraged,1
uface,1
ubecome,1
graduate,1
miscollege,1
days,1
consisted,1
fusion,1
theoretical,1
blended,1
enticing,1
enhancing,1
get,1
differentocietiehelp,1
moreover,1
extra,1
facultyupportive,1
guide,1
goalambition,1
destination,1
mesmerizing,1
membersupportive,1
initiative,1
knowledgekillstudentvariouacademic,1
activitiecampualong,1
helpedhine,1
talentoverall,1
varioucommitteegave,1
engineer,1
while,1
effortfacultie,1
especiallyupport,1
choice,1
taught,1
