,0
the,1153
a,806
comedy,646
thriller,423
its,413
story,409
it,387
funny,326
fun,312
this,299
s,287
time,283
classic,272
director,269
entertaining,260
performances,258
love,242
drama,238
original,226
some,216
characters,212
work,209
cast,208
action,208
an,204
performance,197
kind,197
still,196
if,193
romantic,192
way,192
picture,180
would,180
theres,179
could,177
life,177
see,176
tale,175
play,174
many,168
thats,168
might,163
entertainment,161
interesting,159
any,158
plot,158
fine,158
perfect,156
screen,154
novel,153
really,150
new,148
heart,148
family,147
full,147
us,147
pretty,146
strong,146
script,143
look,142
masterpiece,140
adaptation,138
while,137
adventure,136
worth,136
special,135
genre,135
version,134
moments,133
people,132
years,132
character,130
making,130
far,129
plays,128
real,127
effects,126
enjoyable,126
compelling,124
big,123
acting,121
world,119
long,118
humor,117
est,117
get,117
quite,114
true,113
hollywood,113
solid,113
right,112
american,112
there,111
no,111
i,111
piece,109
actors,109
seen,109
effective,108
lot,107
beautiful,107
excellent,106
kids,106
man,106
romance,105
scenes,105
john,105
going,105
powerful,104
want,103
truly,103
watching,103
another,103
re,101
feels,100
production,100
as,99
yet,99
cinema,98
laughs,98
year,97
brilliant,96
think,96
wonrful,96
almost,96
sense,96
in,96
though,95
role,95
seems,95
feel,95
looks,95
watch,94
fascinating,94
terrific,94
smart,93
also,93
less,92
gives,91
silly,90
cant,90
old,90
certainly,89
emotional,89
find,89
light,89
with,89
surprisingly,88
audience,88
direction,88
rather,87
gets,87
review,86
star,85
end,85
come,85
engaging,85
disney,84
comes,84
suspense,83
rs,83
young,83
material,82
western,82
enjoy,82
exciting,82
christmas,81
often,81
human,81
michael,80
together,80
premise,80
horror,79
sure,79
always,78
intelligent,78
for,78
style,78
fans,78
amazing,78
stars,78
works,77
around,77
know,77
spanish,77
last,77
directed,76
whole,76
black,74
comedies,74
set,74
what,74
easy,74
charming,73
superb,73
go,73
bit,73
top,73
actually,72
cinematic,72
nice,72
hitchcock,71
back,71
history,71
beautifully,70
amusing,70
high,69
hard,69
be,69
pleasure,69
noir,68
scifi,68
flick,68
give,68
documentary,68
say,67
charm,67
sweet,67
keep,66
hilarious,66
times,65
remains,65
cute,65
satisfying,64
minutes,64
manages,64
comic,64
rich,64
day,64
dialogue,64
easily,63
cl,63
perfectly,63
dark,63
mr,62
perhaps,62
impressive,62
probably,62
fantasy,61
goes,61
beauty,60
fresh,60
cool,60
audiences,60
rare,60
men,60
morn,60
robert,60
you,59
epic,59
stuff,59
part,59
b,59
matter,58
title,58
job,58
land,58
energy,58
place,58
r,58
stunning,58
become,58
along,58
seeing,58
show,57
feeling,57
ia,57
early,57
visual,57
experience,57
mostly,57
clearly,56
sequences,56
musical,56
talent,56
care,55
shot,55
power,55
interest,55
remarkable,55
lightful,55
but,55
political,55
d,54
among,54
need,54
playing,54
grace,54
turns,54
summer,54
n,53
art,53
example,53
book,53
put,53
sort,53
thrills,52
three,52
laugh,52
dramatic,52
hero,52
simply,52
certain,52
oscar,52
written,51
proves,51
livers,51
seem,51
elements,51
mystery,51
ultimately,51
narrative,51
feature,51
period,51
although,51
viewers,50
away,50
ias,50
clear,50
music,50
not,50
based,49
inspired,49
form,49
serves,49
since,49
intense,49
surprise,49
popular,49
played,48
home,48
all,48
hope,48
thrillers,48
is,48
actor,48
ending,48
faithful,48
given,47
school,47
whats,47
spirit,47
ly,47
success,47
shows,47
trying,47
thanks,47
message,47
grand,47
to,46
features,46
help,46
david,46
predictable,46
offers,46
thrilling,45
chemistry,45
highly,45
finitely,45
t,45
al,45
sometimes,45
effort,44
paul,44
expect,44
least,44
use,44
richard,44
number,44
triumph,44
half,44
short,44
small,44
keeps,44
close,44
series,43
im,43
leads,43
hit,43
melodrama,43
moment,43
level,43
polanski,43
road,43
line,43
credit,43
yes,43
vision,43
career,43
ambitious,43
whose,43
game,43
looking,42
past,42
important,42
wants,42
lost,42
alive,42
plenty,42
must,42
values,42
pleasant,42
historical,42
acted,42
nearly,42
brilliantly,41
outstanding,41
result,41
reason,41
scene,41
completely,41
lively,41
simple,41
becomes,41
dream,41
stories,41
writerdirector,40
si,40
attempt,40
animated,40
moving,40
created,40
warm,40
subject,40
and,39
study,39
fan,39
crafted,39
instead,39
memorable,39
pure,39
second,39
ive,39
moral,39
magnificent,39
women,39
enjoyed,39
tv,39
holiday,38
screenplay,38
funniest,38
hand,38
able,38
directors,38
happy,38
succeeds,38
exactly,38
lacks,38
today,38
at,38
serious,37
different,37
lovely,37
point,37
wonrfully,37
stage,37
thought,37
g,37
brings,37
recent,37
disneys,37
behind,37
wish,36
visually,36
central,36
create,36
ability,36
ensemble,36
hold,36
please,36
favorite,36
absolutely,36
thoroughly,36
either,36
whether,36
turn,36
welcome,35
james,35
social,35
final,35
hitchcocks,35
got,35
camera,35
act,35
sophisticated,35
fairly,35
sequel,35
st,35
fiction,35
twist,35
lead,35
science,35
most,35
days,34
familiar,34
touching,34
king,34
attention,34
es,34
worthy,34
cent,34
age,34
sports,34
live,34
lack,34
miss,34
promised,34
ways,34
mind,34
emotionally,34
genuine,34
mood,33
nature,33
children,33
genuinely,33
animation,33
successful,33
particularly,33
intriguing,33
quality,33
surprising,33
soul,33
sentimental,33
value,33
face,33
run,32
extremely,32
superior,32
beyond,32
tension,32
night,32
fantastic,32
winning,32
promising,32
chance,32
lives,32
else,32
sets,32
entirely,32
leave,32
george,32
found,32
means,32
told,32
teen,32
entire,31
sound,31
neither,31
friends,31
start,31
un,31
rest,31
earnest,31
parts,31
humour,31
shakespeare,31
intelligence,31
oldfashid,31
ht,31
date,31
happens,31
starts,31
pictures,31
eyes,31
red,31
bring,31
straight,31
satire,31
sign,31
save,31
watchable,31
couple,31
vegas,31
appealing,31
here,30
ends,30
combination,30
appeal,30
martin,30
roles,30
tell,30
psychological,30
cinematography,30
lies,30
recommend,30
pace,30
wit,30
elegant,30
theyre,30
themes,30
van,30
handsome,30
polanskis,30
creepy,30
vehicle,30
supporting,29
rarely,29
british,29
thoughtful,29
opportunity,29
vio,29
era,29
offer,29
accomplished,29
needs,29
convincing,29
mature,29
public,29
major,29
when,29
gripping,29
fails,29
hours,29
somehow,29
crime,29
gorgeous,29
actress,29
used,29
running,29
creates,29
war,29
across,29
jokes,29
formula,29
head,29
gangster,28
strength,28
sexy,28
flawless,28
surprises,28
boasts,28
blockbuster,28
ghost,28
sex,28
dogs,28
writer,28
obvious,28
screwball,28
holds,28
guilty,28
hes,28
captures,28
by,28
silent,28
hangover,28
treat,28
produced,28
mann,28
source,28
finest,27
truth,27
hardly,27
fame,27
especially,27
filled,27
competent,27
season,27
usual,27
mildly,27
ri,27
upon,27
known,27
wild,27
relationships,27
sheer,27
leaves,27
near,27
body,27
seriously,27
opening,27
exercise,27
storytelling,27
guy,27
lee,27
technical,27
party,26
bright,26
adults,26
city,26
has,26
adult,26
reynolds,26
fact,26
provis,26
my,26
atmosphere,26
tries,26
toward,26
french,26
girl,26
approach,26
tron,26
portrait,26
huge,26
contains,26
telling,26
cheap,26
talents,26
excitement,25
witty,25
nicely,25
left,25
next,25
them,25
century,25
stands,25
giving,25
warmth,25
westerns,25
blend,25
possible,25
effect,25
concept,25
touch,25
turned,25
getting,25
opera,25
passion,25
genius,25
respect,25
tail,25
working,25
mix,25
joy,25
rock,25
involved,25
that,25
return,25
call,25
artistic,25
eye,25
arguably,25
formulaic,24
york,24
contemporary,24
sexual,24
splendid,24
scott,24
goofy,24
rousing,24
knows,24
word,24
let,24
magic,24
heavy,24
team,24
others,24
twists,24
motion,24
class,24
box,24
standard,24
liveaction,24
ep,24
dickens,24
th,24
comedic,24
occasionally,24
williams,24
imagine,24
fare,24
loved,24
tells,24
america,24
case,24
morality,24
relationship,24
davis,24
slightly,23
complex,23
capable,23
showcase,23
vampire,23
jack,23
theater,23
slow,23
odd,23
on,23
were,23
main,23
ed,23
talented,23
setting,23
due,23
falls,23
house,23
exhilarating,23
viewer,23
imagination,23
score,23
moore,23
howard,23
images,23
fight,23
believe,23
out,23
forget,23
consistently,23
brothers,23
joseph,23
langs,23
woman,23
babies,23
effectively,23
cheesy,23
again,23
finds,23
classy,22
stand,22
sharp,22
creative,22
sight,22
possibly,22
complete,22
latest,22
efforts,22
